"Kelheim;""2.530"";""2.070"";""460"";""18"""
"Kempten (Allgäu), Stadt;""1.410"";""1.130"";""280"";""20"""
"Kiel, Landeshauptstadt;""10.500"";""6.720"";""3.790"";""36"""
"Kitzingen;""1.400"";""1.190"";""200"";""15"""
"Kleve;""9.090"";""5.530"";""3.560"";""39"""
"Koblenz, kreisfreie Stadt;""3.810"";""2.620"";""1.190"";""31"""
"Köln, Stadt;""52.700"";""28.310"";""24.390"";""46"""
"Konstanz;""6.030"";""4.610"";""1.420"";""24"""
"Krefeld, Stadt;""12.780"";""6.760"";""6.020"";""47"""
"Kronach;""1.410"";""1.120"";""290"";""20"""
"Kulmbach;""1.590"";""1.220"";""370"";""23"""
"Kusel;""1.650"";""980"";""670"";""41"""
"Kyffhäuserkreis;""3.400"";""2.260"";""1.140"";""33"""
"Lahn-Dill-Kreis;""7.630"";""5.070"";""2.560"";""34"""
"Landau in der Pfalz, kreisfreie Stadt;""1.410"";""900"";""520"";""37"""
"Landkreis Rostock;""6.640"";""4.500"";""2.140"";""32"""
"Landsberg am Lech;""1.830"";""1.540"";""300"";""16"""
"Landshut;""2.990"";""2.260"";""730"";""24"""
"Landshut, Stadt;""2.230"";""1.720"";""500"";""23"""
"Leer;""5.620"";""3.800"";""1.810"";""32"""
"Leipzig;""7.640"";""4.910"";""2.730"";""36"""
"Leipzig, Stadt;""22.540"";""16.180"";""6.350"";""28"""
"Leverkusen, Stadt;""6.430"";""4.060"";""2.380"";""37"""
"Lichtenfels;""1.500"";""1.160"";""340"";""23"""
"Limburg-Weilburg;""4.610"";""3.510"";""1.100"";""24"""
"Lindau (Bodensee);""1.290"";""1.100"";""190"";""15"""
"Lippe;""9.940"";""5.700"";""4.240"";""43"""
"Lörrach;""5.530"";""3.910"";""1.630"";""29"""
"Lübeck, Hansestadt;""9.450"";""5.980"";""3.470"";""37"""
"Lüchow-Dannenberg;""1.830"";""1.090"";""740"";""40"""
"Ludwigsburg;""10.930"";""8.230"";""2.700"";""25"""
"Ludwigshafen am Rhein, kreisfreie Stadt;""8.040"";""5.220"";""2.820"";""35"""
"Ludwigslust-Parchim;""6.770"";""4.390"";""2.380"";""35"""
"Lüneburg;""5.890"";""3.900"";""1.990"";""34"""
"Magdeburg, Landeshauptstadt;""10.520"";""7.280"";""3.240"";""31"""
"Main-Kinzig-Kreis;""11.490"";""7.550"";""3.940"";""34"""
"Main-Spessart;""1.560"";""1.290"";""270"";""17"""
"Main-Tauber-Kreis;""2.510"";""1.930"";""570"";""23"""
"Main-Taunus-Kreis;""6.270"";""3.960"";""2.310"";""37"""
"Mainz-Bingen;""4.390"";""3.170"";""1.220"";""28"""
"Mainz, kreisfreie Stadt;""6.420"";""4.360"";""2.060"";""32"""
"Mannheim, Universitätsstadt;""12.780"";""7.660"";""5.120"";""40"""
"Mansfeld-Südharz;""6.760"";""3.700"";""3.060"";""45"""
"Marburg-Biedenkopf;""6.050"";""4.180"";""1.870"";""31"""
"Märkisch-Oderland;""5.840"";""4.010"";""1.830"";""31"""
"Märkischer Kreis;""15.230"";""9.030"";""6.200"";""41"""
"Mayen-Koblenz;""4.400"";""3.330"";""1.070"";""24"""
"Mecklenburgische Seenplatte;""12.290"";""7.710"";""4.580"";""37"""
"Meißen;""7.130"";""4.260"";""2.870"";""40"""
"Memmingen, Stadt;""960"";""770"";""200"";""20"""
"Merzig-Wadern;""2.500"";""1.860"";""640"";""26"""
"Mettmann;""16.070"";""9.790"";""6.270"";""39"""
"Miesbach;""1.660"";""1.380"";""280"";""17"""
"Miltenberg;""2.700"";""2.170"";""530"";""20"""
"Minden-Lübbecke;""9.700"";""6.200"";""3.500"";""36"""
"Mittelsachsen;""7.970"";""5.090"";""2.880"";""36"""
"Mönchengladbach, Stadt;""13.920"";""7.670"";""6.250"";""45"""
"Mühldorf a.Inn;""2.470"";""1.800"";""670"";""27"""
"Mülheim an der Ruhr, Stadt;""7.190"";""3.570"";""3.620"";""50"""
"München;""5.360"";""3.790"";""1.570"";""29"""
"München, Landeshauptstadt;""38.820"";""29.050"";""9.770"";""25"""
"Münster, Stadt;""8.450"";""5.050"";""3.400"";""40"""
"Neckar-Odenwald-Kreis;""3.100"";""2.190"";""910"";""29"""
"Neu-Ulm;""2.610"";""2.180"";""420"";""16"""
"Neuburg-Schrobenhausen;""1.620"";""1.370"";""250"";""15"""
"Neumarkt i.d.OPf.;""2.000"";""1.710"";""290"";""14"""
"Neumünster, Stadt;""3.530"";""2.170"";""1.360"";""38"""
"Neunkirchen;""5.070"";""3.290"";""1.780"";""35"""
"Neustadt a.d.Aisch-Bad Windsheim;""1.510"";""1.220"";""290"";""19"""
"Neustadt a.d.Waldnaab;""1.990"";""1.510"";""480"";""24"""
"Neustadt an der Weinstraße, kreisfreie Stadt;""1.800"";""1.200"";""600"";""33"""
"Neuwied;""5.120"";""3.500"";""1.620"";""32"""
"Nienburg (Weser);""4.080"";""2.860"";""1.220"";""30"""
"Nordfriesland;""5.310"";""3.730"";""1.580"";""30"""
"Nordhausen;""3.610"";""2.420"";""1.190"";""33"""
"Nordsachsen;""7.210"";""4.230"";""2.970"";""41"""
"Nordwestmecklenburg;""5.910"";""3.800"";""2.110"";""36"""
"Northeim;""4.140"";""2.680"";""1.460"";""35"""
"Nürnberg, Stadt;""17.880"";""12.910"";""4.970"";""28"""
"Nürnberger Land;""2.550"";""2.040"";""510"";""20"""
"Oberallgäu;""2.380"";""1.850"";""530"";""22"""
"Oberbergischer Kreis;""8.000"";""4.900"";""3.100"";""39"""
"Oberhausen, Stadt;""11.660"";""6.110"";""5.560"";""48"""
"Oberhavel;""5.910"";""3.700"";""2.210"";""37"""
"Oberspreewald-Lausitz;""4.220"";""2.560"";""1.660"";""39"""
