"Kreis";"Anteil (>= 80 J.) (ARS)";"Anteil (>= 80 J.) (Kreis)";"Anteil (>= 80 J.) (Ins)";"Anteil (>= 80 J.) (Abs)";"Anteil (>= 80 J.) (value)"
259;"09363";"WeideninderOberpfalz,Stadt";42472;3395;8
260;"09371";"Amberg-Sulzbach";103277;7336;7.1
261;"09372";"Cham";128444;8756;6.8
262;"09373";"NeumarktinderOberpfalz";136062;8386;6.2
263;"09374";"NeustadtanderWaldnaab";94838;6359;6.7
264;"09375";"Regensburg";195225;11700;6
265;"09376";"Schwandorf";149239;9967;6.7
266;"09377";"Tirschenreuth";71648;5464;7.6
267;"09461";"Bamberg,Stadt";77749;5292;6.8
268;"09462";"Bayreuth,Stadt";73909;5435;7.4
269;"09463";"Coburg,Stadt";40955;3381;8.3
270;"09464";"Hof,Stadt";45125;3640;8.1
271;"09471";"Bamberg";147697;9002;6.1
272;"09472";"Bayreuth";103648;7646;7.4
273;"09473";"Coburg";86544;6796;7.9
274;"09474";"Forchheim";116753;7873;6.7
275;"09475";"Hof";93907;8557;9.1
276;"09476";"Kronach";66091;5590;8.5
277;"09477";"Kulmbach";71328;5741;8
278;"09478";"Lichtenfels";66741;5134;7.7
279;"09479";"WunsiedelimFichtelgebirge";71482;6400;9
280;"09561";"Ansbach,Stadt";41662;3100;7.4
281;"09562";"Erlangen,Stadt";113292;7159;6.3
282;"09563";"Fürth,Stadt";129122;7400;5.7
283;"09564";"Nürnberg,Stadt";510632;35352;6.9
284;"09565";"Schwabach,Stadt";41146;2987;7.3
285;"09571";"Ansbach";186279;12422;6.7
286;"09572";"Erlangen-Höchstadt";139323;8887;6.4
287;"09573";"Fürth";119432;9026;7.6
288;"09574";"NürnbergerLand";171424;12812;7.5
289;"09575";"NeustadtanderAisch-BadWinsheim";101788;6954;6.8
290;"09576";"Roth";127520;8862;6.9
291;"09577";"Weißenburg-Gunzenhausen";95523;7058;7.4
292;"09661";"Aschaffenburg,Stadt";71381;4867;6.8
293;"09662";"Schweinfurt,Stadt";53585;4609;8.6
294;"09663";"Würzburg,Stadt";126933;9532;7.5
295;"09671";"Aschaffenburg";174965;12583;7.2
296;"09672";"BadKissingen";103454;8942;8.6
297;"09673";"Rhön-Grabfeld";79376;6010;7.6
298;"09674";"Haßberge";84284;5749;6.8
299;"09675";"Kitzingen";91980;6294;6.8
300;"09676";"Miltenberg";128782;9369;7.3
301;"09677";"Main-Spessart";126105;9899;7.8
302;"09678";"Schweinfurt";116134;8491;7.3
303;"09679";"Würzburg";163534;11229;6.9
304;"09761";"Augsburg,Stadt";296478;19842;6.7
305;"09762";"Kaufbeuren,Stadt";45118;3537;7.8
306;"09763";"Kempten(Allgäu),Stadt";69053;5397;7.8
307;"09764";"Memmingen,Stadt";44721;3309;7.4
308;"09771";"Aichach-Friedberg";135538;8850;6.5
309;"09772";"Augsburg";257790;17194;6.7
310;"09773";"DillingenanderDonau";97985;6461;6.6
311;"09774";"Günzburg";128436;8024;6.2
312;"09775";"Neu-Ulm";177330;11861;6.7
313;"09776";"Lindau(Bodensee)";82330;6562;8
314;"09777";"Ostallgäu";143236;9725;6.8
315;"09778";"Unterallgäu";147776;10477;7.1
316;"09779";"Donau-Ries";134986;8845;6.6
317;"09780";"Oberallgäu";157202;11948;7.6
318;"10041";"RegionalverbandSaarbrücken";327284;25456;7.8
319;"10042";"Merzig-Wadern";103426;7864;7.6
320;"10043";"Neunkirchen";130847;10815;8.3
321;"10044";"Saarlouis";193661;15814;8.2
322;"10045";"Saarpfalz-Kreis";140960;12331;8.7
323;"10046";"St.Wendel";86170;7186;8.3
324;"11000";"Berlin(BL)";3677472;232229;6.3
325;"12051";"BrandenburganderHavel,Stadt";72461;7538;10.4
326;"12052";"Cottbus,Stadt";98359;9280;9.4
327;"12053";"Frankfurt(Oder),Stadt";56679;5480;9.7
328;"12054";"Potsdam,Stadt";183154;12893;7
329;"12060";"Barnim";188835;14944;7.9
330;"12061";"Dahme-Spreewald";175834;14864;8.5
331;"12062";"Elbe-Elster";100317;9904;9.9
332;"12063";"Havelland";165906;12488;7.5
333;"12064";"Märkisch-Oderland";197965;16431;8.3
334;"12065";"Oberhavel";215795;17120;7.9
335;"12066";"Oberspreewald-Lausitz";107558;11134;10.4
